label,COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,RAW_CQ,GYROX,GYROY,MARKER,SYNC,TIME_STAMP_s,TIME_STAMP_ms,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,CQ_CMS,CQ_DRL
off_to_on,4095.59558808,4100.51038004,4091.51760923,4131.32223711,4104.1853063,4099.23517718,4104.57274321,4100.2801038,4136.78324137,4095.39436916,4118.68090664,4099.31514877,4103.94812181,782.80728671
off_to_on,4095.50408022,4100.69672345,4091.58147958,4131.34564636,4104.27638728,4099.25038515,4105.26844373,4101.12689589,4136.79880614,4095.93926773,4118.76464289,4099.92369911,4104.25751882,790.503210534
off_to_on,4095.51625239,4100.97242605,4091.73302182,4131.37977667,4104.41689784,4099.32907354,4105.9564407,4101.94722429,4136.81620675,4096.5957407,4118.89840211,4100.59931069,4104.65198102,792.621554614
off_to_on,4095.62983892,4101.32065029,4091.96707716,4131.42427583,4104.60038543,4099.46716485,4106.61850392,4102.72032577,4136.83498607,4097.33819487,4119.07064457,4101.30823546,4105.10758352,789.401499089
off_to_on,4095.83942192,4101.7224543,4092.27613701,4131.47858694,4104.81923608,4099.65977032,4107.23711575,4103.42706224,4136.85465597,4098.13867549,4119.26876156,4102.0158178,4105.59897828,781.231578097
off_to_on,4096.13680954,4102.15765966,4092.65074077,4131.54192582,4105.06517405,4099.90156032,4107.79624634,4104.05074127,4136.87471552,4098.96808369,4119.47963761,4102.68800733,4106.10054898,768.635619429
off_to_on,4096.51150011,4102.60574796,4093.0799316,4131.61326391,4105.32977651,4100.18712845,4108.28207751,4104.57785125,4136.89466877,4099.79741554,4119.69021839,4103.29283376,4106.5875477,752.25414975
off_to_on,4096.95121075,4103.04674972,4093.55174992,4131.69131892,4105.60497723,4100.51132943,4108.68364125,4104.99867755,4136.9140418,4100.59897114,4119.88806104,4103.80178201,4107.03716617,732.821974077
off_to_on,4097.44244675,4103.46209049,4094.05374379,4131.7745551,4105.88353391,4100.86957307,4108.99334205,4105.30777127,4136.93239814,4101.3474844,4120.061845,4104.1910106,4107.42949773,711.142772121
off_to_on,4097.97108776,4103.83536098,4094.57347529,4131.86119462,4106.15943621,4101.25805917,4109.207338,4105.5042483,4136.94935236,4102.02112826,4120.20182346,4104.44236318,4107.74835208,688.06165395
off_to_on,4098.52296724,4104.15298266,4095.09900283,4131.94924088,4106.42823487,4101.67394259,4109.32576243,4105.59190396,4136.96458115,4102.60235648,4120.30019848,4104.54413277,4107.98189249,664.43668017
off_to_on,4099.08442343,4104.40474497,4095.61932154,4132.03651431,4106.68727668,4102.11542148,4109.35277598,4105.57913677,4136.97783177,4103.07855103,4120.35140644,4104.4915499,4108.12307349,641.110377667
off_to_on,4099.64280212,4104.58419657,4096.12474604,4132.12070015,4106.93583536,4102.58174653,4109.2964469,4105.47868282,4136.9889276,4103.44245316,4120.35230444,4104.286978,4108.16986685,618.882269547
off_to_on,4100.18689472,4104.68887889,4096.60722314,4132.19940752,4107.17513358,4103.07315308,4109.16846507,4105.30717056,4136.99777065,4103.69236569,4120.3022524,4103.93981226,4108.12527247,598.483386458
off_to_on,4100.70729801,4104.72039662,4097.06056512,4132.27023824,4107.40825729,4103.59072247,4108.98370277,4105.0845135,4137.00434111,4103.83212351,4120.20309001,4103.46609052,4107.99712006,580.553639239
off_to_on,4101.196686,4104.6843262,4097.48059802,4132.33086331,4107.63996853,4104.13618232,4108.75964137,4104.83316476,4137.00869413,4103.87083877,4120.05901193,4102.88783599,4107.79767543,565.622816197
off_to_on,4101.649988,4104.58996909,4097.86522283,4132.37910435,4107.87642788,4104.71165847,4108.51568846,4104.57726324,4137.01095392,4103.82243565,4119.87634827,4102.23216255,4107.54307283,554.095827067
off_to_on,4102.06447078,4104.44996269,4098.21439107,4132.41301689,4108.12484162,4105.31939292,4108.27241403,4104.34170511,4137.01130563,4103.70499799,4119.66326148,4101.53018208,4107.2526005,546.242652442
off_to_on,4102.4397261,4104.27976625,4098.52999917,4132.43097199,4108.39305194,4105.96144326,4108.05073635,4104.15117702,4137.00998533,4103.53995945,4119.42937334,4100.81576062,4106.94787165,542.193276359
off_to_on,4102.77756793,4104.09704343,4098.81570913,4132.43173228,4108.68909071,4106.63937922,4107.87109007,4104.02918859,4137.00726856,4103.35117148,4119.1853386,4100.12417489,4106.65191614,541.937687725
off_to_on,4103.08184672,4103.92096615,4099.07670542,4132.41451903,4109.02071875,4107.35399173,4107.75260921,4103.99714189,4137.00345797,4103.16388845,4118.94238342,4099.49072375,4106.3882301,545.330841589
off_to_on,4103.35819098,4103.77146715,4099.31940001,4132.37906638,4109.3949728,4108.10502958,4107.71235753,4104.07347462,4136.99887052,4103.00371195,4118.71182811,4098.94935002,4106.17982172,552.102282788
off_to_on,4103.61368946,4103.66846997,4099.55109968,4132.32565999,4109.8177421,4108.89097782,4107.7646381,4104.27291162,4136.99382473,4102.89553772,4118.50461395,4098.53132733,4106.04829065,561.869962801
off_to_on,4103.85652929,4103.63112593,4099.77965046,4132.25515747,4110.29339516,4109.70889129,4107.92041157,4104.60585592,4136.98862851,4102.86254815,4118.3308535,4098.26406393,4106.01297709,574.157635982
